88,236
48,129
192,209
137,167
152,188
26,111
38,46
235,194
93,22
233,150
23,75
236,213
182,215
21,143
113,80
120,245
113,181
144,73
220,77
60,133
164,65
212,199
203,6
39,205
100,154
61,81
50,185
27,177
252,141
192,142
16,217
253,16
242,22
122,57
42,93
185,115
147,206
138,101
76,155
247,106
247,205
199,70
247,174
214,225
168,189
137,244
139,162
83,83
119,139
200,183
47,24
47,223
26,107
83,108
185,115
160,77
211,255
169,103
14,218
133,104
103,118
241,177
207,43
239,24
102,62
128,129
0,68
183,45
87,11
32,203
156,31
163,3
103,172
227,35
162,119
38,11
18,44
113,80
79,240
53,60
208,62
232,100
40,114
84,37
97,71
10,34
20,93
190,238
46,90
237,63
35,223
9,112
49,142
223,17
29,67
16,15
193,247
122,139
5,137
232,226
91,80
244,92
5,211
192,140
147,108
225,28
124,167
224,216
51,145
197,183
205,130
131,48
165,155
84,237
63,196
218,75
74,220
241,175
40,184
155,255
188,196
217,72
122,184
221,135
255,173
158,232
32,10
10,209
62,48
139,100
4,218
150,202
239,6
165,107
6,101
109,0
214,95
147,150
26,55
12,201
84,82
228,221
222,65
141,189
116,202
41,224
57,76
25,75
228,110
235,119
147,253
248,178
175,228
137,46
80,177
12,11
44,127
58,67
46,101
192,120
193,217
219,176
246,214
214,11
5,139
211,94
221,201
87,16
90,2
238,35
220,223
62,69
124,58
227,12
202,153
38,160
121,105
61,18
62,249
54,21
107,75
228,147
189,214
136,140
120,73
191,90
92,32
7,59
6,216
31,25
70,136
236,250
213,118
157,15
124,212
132,209
139,141
166,69
52,94
37,212
28,205
157,155
207,188
3,6
129,63
42,114
240,154
130,213
49,124
27,214
131,205
163,54
227,81
139,97
41,130
245,206
186,229
149,51
221,38
223,159
111,235
36,147
37,147
96,28
229,88
198,106
244,204
215,64
121,232
215,32
208,90
142,231
213,0
169,29
89,117
158,115
67,150
234,64
106,3
136,34
230,8
239,165
131,64
99,181
183,46
140,240
225,110
166,223
48,93
162,65
107,148
243,249
253,107
136,4
81,203
228,20
27,241
162,207
77,92
13,39
130,37
233,144
77,158
146,129
113,105
51,125
244,22
98,200
110,48
242,22
229,168
165,192
48,136
0,192
125,237
56,216
46,115
97,89
83,234
44,145
85,198
67,107
68,228
139,102
86,131
102,86
149,94
77,120
193,53
17,145
58,239
51,46
84,28
6,248
215,116
102,237
142,161
112,88
241,52
112,103
93,41
130,2
57,119
184,40
205,43
221,34
202,95
170,5
95,48
106,170
243,128
194,60
19,238
201,117
194,82
219,68
225,243
21,123
254,124
18,168
159,177
108,166
249,209
40,217
226,69
221,109
136,107
26,75
134,227
174,136
185,120
143,239
189,146
245,94
14,14
95,243
32,165
248,127
5,225
0,118
129,132
185,97
239,126
47,226
49,100
25,207
204,92
49,221
228,190
184,232
80,6
49,228
222,217
173,160
211,115
172,6
130,150
228,149
228,18
